month,level_1,level_2,value
1962-10,All Items,Household Durables And Services,33.396
1962-10,All Items,Health Care,19.863
1962-10,All Items,Transport,20.303
1962-10,All Items,Communication,87.887
1962-10,All Items,Recreation & Culture,51.022
1962-10,All Items,Education,17.275
1962-10,All Items,Miscellaneous Goods & Services,19.127
1962-11,All Items,Food,24.092
1962-11,All Items,Food Excl Food Servicing Services,na
1962-11,All Items,Food Servicing Services,na
1962-11,All Items,Clothing & Footwear,54.181
1962-11,All Items,Housing & Utilities,23.706
1962-11,All Items,Household Durables And Services,33.409
1962-11,All Items,Health Care,19.863
1962-11,All Items,Transport,20.303
1962-11,All Items,Communication,87.887
1962-11,All Items,Recreation & Culture,51.022
1962-11,All Items,Education,17.275
1962-11,All Items,Miscellaneous Goods & Services,19.127
1962-12,All Items,Food,24.213
1962-12,All Items,Food Excl Food Servicing Services,na
1962-12,All Items,Food Servicing Services,na
1962-12,All Items,Clothing & Footwear,54.12
1962-12,All Items,Housing & Utilities,23.706
1962-12,All Items,Household Durables And Services,33.436
1962-12,All Items,Health Care,19.863
1962-12,All Items,Transport,20.303
1962-12,All Items,Communication,87.887
1962-12,All Items,Recreation & Culture,51.022
1962-12,All Items,Education,17.275
1962-12,All Items,Miscellaneous Goods & Services,19.127
1963-01,All Items,Food,25.032
1963-01,All Items,Food Excl Food Servicing Services,na
1963-01,All Items,Food Servicing Services,na
1963-01,All Items,Clothing & Footwear,54.136
1963-01,All Items,Housing & Utilities,23.637
1963-01,All Items,Household Durables And Services,32.669
1963-01,All Items,Health Care,19.863
1963-01,All Items,Transport,20.303
1963-01,All Items,Communication,87.887
1963-01,All Items,Recreation & Culture,51.022
1963-01,All Items,Education,17.834
1963-01,All Items,Miscellaneous Goods & Services,19.127
1963-02,All Items,Food,25.343
1963-02,All Items,Food Excl Food Servicing Services,na
1963-02,All Items,Food Servicing Services,na
1963-02,All Items,Clothing & Footwear,54.252
1963-02,All Items,Housing & Utilities,23.637
1963-02,All Items,Household Durables And Services,32.683
1963-02,All Items,Health Care,19.863
1963-02,All Items,Transport,20.303
1963-02,All Items,Communication,87.887
1963-02,All Items,Recreation & Culture,51.022
1963-02,All Items,Education,17.834
1963-02,All Items,Miscellaneous Goods & Services,19.127
1963-03,All Items,Food,24.535
1963-03,All Items,Food Excl Food Servicing Services,na
1963-03,All Items,Food Servicing Services,na
1963-03,All Items,Clothing & Footwear,54.064
1963-03,All Items,Housing & Utilities,23.637
1963-03,All Items,Household Durables And Services,32.683
1963-03,All Items,Health Care,19.863
1963-03,All Items,Transport,20.303
1963-03,All Items,Communication,87.887
1963-03,All Items,Recreation & Culture,51.022
1963-03,All Items,Education,17.834
1963-03,All Items,Miscellaneous Goods & Services,19.127
1963-04,All Items,Food,24.099
1963-04,All Items,Food Excl Food Servicing Services,na
1963-04,All Items,Food Servicing Services,na
1963-04,All Items,Clothing & Footwear,54.064
1963-04,All Items,Housing & Utilities,23.669
1963-04,All Items,Household Durables And Services,32.676
1963-04,All Items,Health Care,19.863
1963-04,All Items,Transport,20.303
1963-04,All Items,Communication,87.887
1963-04,All Items,Recreation & Culture,51.022
1963-04,All Items,Education,17.834
1963-04,All Items,Miscellaneous Goods & Services,19.127
1963-05,All Items,Food,24.312
1963-05,All Items,Food Excl Food Servicing Services,na
1963-05,All Items,Food Servicing Services,na
1963-05,All Items,Clothing & Footwear,54.136
1963-05,All Items,Housing & Utilities,23.666
1963-05,All Items,Household Durables And Services,32.683
1963-05,All Items,Health Care,19.863
1963-05,All Items,Transport,20.303
1963-05,All Items,Communication,87.887
1963-05,All Items,Recreation & Culture,51.022
1963-05,All Items,Education,17.834
1963-05,All Items,Miscellaneous Goods & Services,19.127
1963-06,All Items,Food,24.443
1963-06,All Items,Food Excl Food Servicing Services,na
1963-06,All Items,Food Servicing Services,na
1963-06,All Items,Clothing & Footwear,54.136
1963-06,All Items,Housing & Utilities,23.666
1963-06,All Items,Household Durables And Services,32.683
1963-06,All Items,Health Care,19.863
1963-06,All Items,Transport,20.325
1963-06,All Items,Communication,87.887
1963-06,All Items,Recreation & Culture,50.937
1963-06,All Items,Education,17.834
1963-06,All Items,Miscellaneous Goods & Services,19.127
1963-07,All Items,Food,24.324
1963-07,All Items,Food Excl Food Servicing Services,na
1963-07,All Items,Food Servicing Services,na
1963-07,All Items,Clothing & Footwear,54.136
1963-07,All Items,Housing & Utilities,23.666
1963-07,All Items,Household Durables And Services,32.733
1963-07,All Items,Health Care,19.863
1963-07,All Items,Transport,20.325
1963-07,All Items,Communication,87.887
1963-07,All Items,Recreation & Culture,50.937
1963-07,All Items,Education,17.834
1963-07,All Items,Miscellaneous Goods & Services,19.127
1963-08,All Items,Food,24.42
1963-08,All Items,Food Excl Food Servicing Services,na
1963-08,All Items,Food Servicing Services,na
1963-08,All Items,Clothing & Footwear,54.324
1963-08,All Items,Housing & Utilities,23.666
1963-08,All Items,Household Durables And Services,32.733
1963-08,All Items,Health Care,19.863
1963-08,All Items,Transport,20.325
1963-08,All Items,Communication,87.887
1963-08,All Items,Recreation & Culture,50.937
1963-08,All Items,Education,17.834
1963-08,All Items,Miscellaneous Goods & Services,19.128
1963-09,All Items,Food,24.595
1963-09,All Items,Food Excl Food Servicing Services,na
1963-09,All Items,Food Servicing Services,na
1963-09,All Items,Clothing & Footwear,54.523
1963-09,All Items,Housing & Utilities,23.681
1963-09,All Items,Household Durables And Services,32.745
1963-09,All Items,Health Care,19.863
1963-09,All Items,Transport,20.325
1963-09,All Items,Communication,87.887
1963-09,All Items,Recreation & Culture,50.937
1963-09,All Items,Education,17.834
1963-09,All Items,Miscellaneous Goods & Services,19.13
1963-10,All Items,Food,25.601
1963-10,All Items,Food Excl Food Servicing Services,na
1963-10,All Items,Food Servicing Services,na
1963-10,All Items,Clothing & Footwear,54.324
1963-10,All Items,Housing & Utilities,23.76
1963-10,All Items,Household Durables And Services,32.745
1963-10,All Items,Health Care,19.863
1963-10,All Items,Transport,20.325
1963-10,All Items,Communication,87.887
1963-10,All Items,Recreation & Culture,50.937
1963-10,All Items,Education,17.834
1963-10,All Items,Miscellaneous Goods & Services,19.13
1963-11,All Items,Food,25.256
1963-11,All Items,Food Excl Food Servicing Services,na
1963-11,All Items,Food Servicing Services,na
1963-11,All Items,Clothing & Footwear,54.324
1963-11,All Items,Housing & Utilities,23.877
1963-11,All Items,Household Durables And Services,32.714
1963-11,All Items,Health Care,19.863
1963-11,All Items,Transport,20.309
1963-11,All Items,Communication,87.887
1963-11,All Items,Recreation & Culture,50.937
1963-11,All Items,Education,17.834
1963-11,All Items,Miscellaneous Goods & Services,19.131
1963-12,All Items,Food,25.318
1963-12,All Items,Food Excl Food Servicing Services,na
1963-12,All Items,Food Servicing Services,na
1963-12,All Items,Clothing & Footwear,54.523
1963-12,All Items,Housing & Utilities,23.877
1963-12,All Items,Household Durables And Services,32.702
1963-12,All Items,Health Care,19.863
1963-12,All Items,Transport,20.389
1963-12,All Items,Communication,87.887
1963-12,All Items,Recreation & Culture,50.937
1963-12,All Items,Education,17.834
1963-12,All Items,Miscellaneous Goods & Services,19.131
1964-01,All Items,Food,25.614
1964-01,All Items,Food Excl Food Servicing Services,na
1964-01,All Items,Food Servicing Services,na
1964-01,All Items,Clothing & Footwear,54.565
1964-01,All Items,Housing & Utilities,23.877
1964-01,All Items,Household Durables And Services,32.671
1964-01,All Items,Health Care,19.863
1964-01,All Items,Transport,20.389
1964-01,All Items,Communication,87.887
1964-01,All Items,Recreation & Culture,51.022
1964-01,All Items,Education,18.026
1964-01,All Items,Miscellaneous Goods & Services,18.945
1964-02,All Items,Food,25.805
1964-02,All Items,Food Excl Food Servicing Services,na
1964-02,All Items,Food Servicing Services,na
1964-02,All Items,Clothing & Footwear,54.447
